,Wind speed (knots)04h,Wind speed (knots)06h,Wind speed (knots)08h,Wind speed (knots)10h,Wind speed (knots)12h,Wind speed (knots)14h,Wind speed (knots)16h,Wind speed (knots)18h,Wind direction (°Deg)04h,Wind direction (°Deg)06h,Wind direction (°Deg)08h,Wind direction (°Deg)10h,Wind direction (°Deg)12h,Wind direction (°Deg)14h,Wind direction (°Deg)16h,Wind direction (°Deg)18h,Wind gusts (knots)04h,Wind gusts (knots)06h,Wind gusts (knots)08h,Wind gusts (knots)10h,Wind gusts (knots)12h,Wind gusts (knots)14h,Wind gusts (knots)16h,Wind gusts (knots)18h,Wave (m)04h,Wave (m)06h,Wave (m)08h,Wave (m)10h,Wave (m)12h,Wave (m)14h,Wave (m)16h,Wave (m)18h,Wave direction (°Deg)04h,Wave direction (°Deg)06h,Wave direction (°Deg)08h,Wave direction (°Deg)10h,Wave direction (°Deg)12h,Wave direction (°Deg)14h,Wave direction (°Deg)16h,Wave direction (°Deg)18h,Wave period (s)04h,Wave period (s)06h,Wave period (s)08h,Wave period (s)10h,Wave period (s)12h,Wave period (s)14h,Wave period (s)16h,Wave period (s)18h
08.08.2021,6.0,7.0,10.0,4.0,11.0,11.0,17.0,12.0,539.0,520.0,523.0,465.0,493.0,433.0,409.0,427.0,5.0,6.0,11.0,11.0,18.0,19.0,22.0,18.0,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.6,400.0,400.0,401.0,401.0,401.0,401.0,401.0,402.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
09.08.2021,9.0,21.0,23.0,24.0,25.0,25.0,23.0,18.0,478.0,441.0,442.0,425.0,423.0,422.0,420.0,415.0,18.0,29.0,31.0,29.0,31.0,28.0,27.0,24.0,2.4,3.6,4.0,4.0,4.0,3.9,3.8,3.6,406.0,407.0,406.0,410.0,411.0,411.0,409.0,407.0,12.0,11.0,11.0,11.0,10.0,10.0,10.0,11.0
10.08.2021,10.0,8.0,7.0,4.0,3.0,10.0,9.0,7.0,490.0,485.0,499.0,502.0,299.0,309.0,303.0,290.0,14.0,9.0,8.0,4.0,4.0,6.0,9.0,8.0,2.9,2.8,2.7,2.5,2.4,2.3,2.2,2.1,406.0,405.0,404.0,404.0,404.0,405.0,405.0,405.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
11.08.2021,8.0,9.0,10.0,11.0,11.0,14.0,15.0,13.0,522.0,523.0,522.0,511.0,437.0,404.0,405.0,423.0,8.0,9.0,13.0,14.0,16.0,15.0,16.0,18.0,2.0,2.0,2.2,2.3,2.5,2.7,2.9,3.1,390.0,390.0,392.0,391.0,392.0,392.0,391.0,390.0,10.0,11.0,12.0,12.0,12.0,12.0,13.0,14.0
12.08.2021,29.0,18.0,18.0,15.0,11.0,10.0,7.0,5.0,455.0,392.0,382.0,409.0,401.0,389.0,351.0,371.0,38.0,22.0,21.0,19.0,14.0,11.0,12.0,7.0,4.2,4.2,4.4,4.2,3.9,3.7,3.6,3.6,395.0,396.0,397.0,398.0,398.0,398.0,398.0,398.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
13.08.2021,7.0,9.0,5.0,3.0,5.0,8.0,10.0,11.0,318.0,325.0,272.0,207.0,308.0,325.0,307.0,282.0,7.0,9.0,5.0,4.0,5.0,6.0,9.0,12.0,3.2,3.1,3.0,3.0,2.9,2.8,2.8,2.7,401.0,401.0,401.0,400.0,400.0,400.0,400.0,399.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
14.08.2021,6.0,4.0,5.0,8.0,13.0,15.0,16.0,14.0,539.0,526.0,209.0,248.0,256.0,273.0,274.0,265.0,6.0,4.0,10.0,15.0,16.0,15.0,18.0,17.0,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.2,398.0,399.0,399.0,399.0,400.0,400.0,401.0,401.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
15.08.2021,5.0,4.0,5.0,3.0,6.0,11.0,9.0,11.0,532.0,528.0,521.0,194.0,303.0,318.0,310.0,264.0,5.0,4.0,5.0,3.0,5.0,9.0,8.0,14.0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,398.0,392.0,392.0,395.0,396.0,397.0,399.0,389.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,15.0
16.08.2021,5.0,5.0,6.0,4.0,3.0,4.0,6.0,13.0,532.0,402.3,540.0,526.0,256.0,181.0,296.0,267.0,5.0,5.0,6.0,5.0,6.0,9.0,7.0,16.0,2.4,2.3,2.3,2.2,2.2,2.1,2.1,2.1,394.0,395.0,398.0,399.0,400.0,401.0,401.0,401.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
17.08.2021,12.0,11.0,14.0,13.0,16.0,16.0,16.0,11.0,444.0,438.0,433.0,418.0,413.0,410.0,408.0,426.0,16.0,16.0,22.0,15.0,17.0,20.0,19.0,18.0,2.5,2.5,2.5,2.5,2.7,2.8,3.0,3.1,395.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
18.08.2021,5.0,5.0,4.0,2.0,5.0,14.0,14.0,13.0,481.0,490.0,498.0,468.0,351.0,412.0,413.0,423.0,6.0,5.0,4.0,3.0,4.0,13.0,14.0,16.0,2.6,2.5,2.4,2.4,2.3,2.4,2.4,2.5,394.0,394.0,389.0,389.0,389.0,393.0,393.0,394.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0
19.08.2021,23.0,18.0,9.0,14.0,14.0,9.0,9.0,8.0,349.0,348.0,333.0,353.0,356.0,366.0,364.0,368.0,20.0,22.0,10.0,16.0,15.0,10.0,10.0,7.0,3.0,3.3,3.0,3.0,3.0,2.9,2.9,2.9,400.0,379.0,397.0,396.0,392.0,390.0,390.0,391.0,14.0,10.0,13.0,14.0,14.0,14.0,14.0,14.0
